Name,Cells,Common (1),Uncommon (2),Rare (3),Epic (4),Legendary (5),Unreal (6),Common (1),Uncommon (2),Rare (3),Epic (4),Legendary (5),Unreal (6),set,Common ID,Uncommon ID,Rare,Epic ID,Legendary ID,Unreal ID,Legacy ID,Legacy
Dream Demolisher 3000,2,70 000,183750,482370,1266300,3324090,8725815,2.00%,2.10%,2.21%,2.32%,2.43%,2.55%,,5e2ee460041b386e78b97c2a,631f77888238ed283a2324ac,631f77898238ed283a2324b9,631f778a8238ed283a2324c6,631f778b8238ed283a2324d3,631f778c8238ed283a2324e0,61bb6123698d2f88e80c7732,
Jack-o'-Miner,2,99 900,262290,688590,1807575,4744950,12455520,2.50%,2.63%,2.76%,2.89%,3.04%,3.19%,,5f9ae5844ac419fdd08d0bee,631f77988238ed283a23256f,631f77998238ed283a23257c,631f779a8238ed283a232589,631f779b8238ed283a232596,631f779d8238ed283a2325a3,61bb6127698d2f88e80c7774,
Chupacabra,1,14 000,36750,96495,253365,665175,1746150,1.00%,1.05%,1.10%,1.16%,1.22%,1.28%,,5f9ae5284ac419fdd08d0584,631f779e8238ed283a2325b0,631f779f8238ed283a2325bd,631f77a08238ed283a2325ca,631f77a18238ed283a2325d7,631f77a28238ed283a2325e4,61bb6123698d2f88e80c7730,
El Monstro,2,110 000,288750,757995,1989750,5223120,13710690,2.00%,2.10%,2.21%,2.32%,2.43%,2.55%,,5f9ae5584ac419fdd08d08cd,631f77a38238ed283a2325f1,631f77a48238ed283a2325fe,631f77a58238ed283a23260b,631f77a68238ed283a232618,631f77a88238ed283a232625,61bb6123698d2f88e80c772f,
Legacy Hasher 2019,2,250 000,656250,1722735,4522245,11870985,31161375,5.00%,5.25%,5.51%,5.79%,6.08%,6.38%,,5fc782f1c69784c31ae30519,631f77a98238ed283a232632,631f77aa8238ed283a23263f,631f77ab8238ed283a23264c,631f77ac8238ed283a232659,631f77ad8238ed283a232666,61bb6126698d2f88e80c7761,
Clover Lover,2,155 000,406875,1068060,2803710,7359765,19319475,2.50%,2.63%,2.76%,2.89%,3.04%,3.19%,,604f569e8402c6550b2b936b,631f77ae8238ed283a232673,631f77af8238ed283a232680,631f77b08238ed283a23268d,631f77b18238ed283a23269a,631f77b38238ed283a2326a7,61bb6127698d2f88e80c7772,
Santa Sleigh,2,160 000,420000,1102500,2894115,7597065,19942335,2.50%,2.63%,2.76%,2.89%,3.04%,3.19%,,5fd9ea94101f34db22cee8da,631f77b48238ed283a2326b4,631f77b58238ed283a2326c1,631f77b68238ed283a2326ce,631f77b78238ed283a2326db,631f77b98238ed283a2326e8,61bb6127698d2f88e80c7773,
DOGER 420,2,199 000,522375,1371300,3599715,9449265,24804360,2.50%,2.63%,2.76%,2.89%,3.04%,3.19%,,607eedae65dce86c86e95319,631f77ba8238ed283a2326f5,631f77bb8238ed283a232702,631f77bc8238ed283a23270f,631f77bd8238ed283a23271c,631f77be8238ed283a232729,61bb6127698d2f88e80c7771,
MINERVERSARY III,2,900 000,2362500,6201615,16279305,42733215,112174755,5.00%,5.25%,5.51%,5.79%,6.08%,6.38%,,6087feb365dce86c869c1d04,631f77bf8238ed283a232736,631f77c08238ed283a232743,631f77c18238ed283a232750,631f77c28238ed283a23275d,631f77c48238ed283a23276a,61bb6126698d2f88e80c7766,
Milly,2,70 000,183750,482370,1266300,3324090,8725815,1.50%,1.58%,1.65%,1.74%,1.82%,1.91%,,60c9bbce65dce86c86c22a25,631f77c58238ed283a232777,631f77c68238ed283a232784,631f77c78238ed283a232791,631f77c88238ed283a23279e,631f77c98238ed283a2327ab,61bb6127698d2f88e80c7775,
Milly Mini,1,25 000,65625,172305,452340,1187445,3117135,0.50%,0.53%,0.55%,0.58%,0.61%,0.64%,,60c9bc0965dce86c86c372fe,631f77ca8238ed283a2327b8,631f77cb8238ed283a2327c5,631f77cc8238ed283a2327d2,631f77ce8238ed283a2327df,631f77cf8238ed283a2327ec,61bb6127698d2f88e80c777b,
RollerMillion,2,1 000 000,2625000,6890625,18087930,47480895,124637415,5.00%,5.25%,5.51%,5.79%,6.08%,6.38%,,60c9ab6d65dce86c8664e541,631f77d08238ed283a2327f9,631f77d18238ed283a232806,631f77d28238ed283a232813,631f77d38238ed283a232820,631f77d48238ed283a23282d,61bb6126698d2f88e80c775f,
Perfection,2,400 000,1050000,2756250,7235235,18992505,49855365,3.00%,3.15%,3.31%,3.47%,3.65%,3.83%,,60c7444c65dce86c8661a2af,631f77d58238ed283a23283a,631f77d68238ed283a232847,631f77d78238ed283a232854,631f77d98238ed283a232861,631f77da8238ed283a23286e,61bb6127698d2f88e80c776f,
Aurum,2,200 000,525000,1378125,3617670,9496410,24928155,2.00%,2.10%,2.21%,2.32%,2.43%,2.55%,,60c7441465dce86c86607522,631f77db8238ed283a23287b,631f77dc8238ed283a232888,631f77dd8238ed283a232895,631f77de8238ed283a2328a2,631f77df8238ed283a2328af,61bb6127698d2f88e80c776e,
Prisma,2,140 000,367500,964740,2532495,6647865,17450685,1.00%,1.05%,1.10%,1.16%,1.22%,1.28%,,60c743d665dce86c865f2251,631f77e08238ed283a2328bc,631f77e18238ed283a2328c9,631f77e38238ed283a2328d6,631f77e48238ed283a2328e3,631f77e58238ed283a2328f0,61bb6127698d2f88e80c776d,
The Glimpse,1,50 000,131250,344610,904680,2374785,6233850,0.50%,0.53%,0.55%,0.58%,0.61%,0.64%,,60c7438d65dce86c865da09e,631f77e68238ed283a2328fd,631f77e78238ed283a23290a,631f77e88238ed283a232917,631f77e98238ed283a232924,631f77ea8238ed283a232931,61bb6126698d2f88e80c776c,
TAPEBOY,1,12 200,32025,84105,220815,579705,1521765,0.50%,0.53%,0.55%,0.58%,0.61%,0.64%,,610a9a96bf6b53744c845ba0,631f77eb8238ed283a23293e,631f77ed8238ed283a23294b,631f77ee8238ed283a232958,631f77ef8238ed283a232965,631f77f08238ed283a232972,61bb6126698d2f88e80c7760,
JBS-200,1,13 000,34125,89670,235410,618030,1622355,0.50%,0.53%,0.55%,0.58%,0.61%,0.64%,,610a9ae2bf6b53744c860a30,631f77f18238ed283a23297f,631f77f28238ed283a23298c,631f77f38238ed283a232999,631f77f48238ed283a2329a6,631f77f58238ed283a2329b3,61bb6126698d2f88e80c775e,
CP-106,1,11 106,29190,76650,201285,528465,1387260,0.50%,0.53%,0.55%,0.58%,0.61%,0.64%,,610a9b31bf6b53744c87cedc,631f77f68238ed283a2329c0,631f77f78238ed283a2329cd,631f77f98238ed283a2329da,631f77fa8238ed283a2329e7,631f77fb8238ed283a2329f4,61bb6126698d2f88e80c775d,
TAPEMAN,2,25 600,67200,176400,463050,1215585,3190950,1.00%,1.05%,1.10%,1.16%,1.22%,1.28%,,610a9b67bf6b53744c890647,631f77fc8238ed283a232a01,631f77fd8238ed283a232a0e,631f77fe8238ed283a232a1b,631f77ff8238ed283a232a28,631f78008238ed283a232a35,61bb6126698d2f88e80c775a,
JBS-144,2,27 700,72765,191100,501690,1317015,3457230,1.00%,1.05%,1.10%,1.16%,1.22%,1.28%,,610a9bcabf6b53744c8b3c79,631f78018238ed283a232a42,631f78028238ed283a232a4f,631f78038238ed283a232a5c,631f78048238ed283a232a69,631f78068238ed283a232a76,61bb6126698d2f88e80c775b,
TYPE-Z,2,38 000,99750,261870,687435,1804530,4736970,1.00%,1.05%,1.10%,1.16%,1.22%,1.28%,,610a9c19bf6b53744c8d085b,631f78078238ed283a232a83,631f78088238ed283a232a90,631f78098238ed283a232a9d,631f780a8238ed283a232aaa,631f780b8238ed283a232ab7,61bb6126698d2f88e80c7759,
CP-306,2,30 000,78750,206745,542745,1424745,3739995,1.00%,1.05%,1.10%,1.16%,1.22%,1.28%,,610a9c61bf6b53744c8ea0d4,631f780c8238ed283a232ac4,631f780e8238ed283a232ad1,631f78108238ed283a232ade,631f78128238ed283a232aeb,631f78138238ed283a232af8,61bb6126698d2f88e80c7758,
Sunset City,2,95 000,249375,654675,1718535,4511220,11842005,2.00%,2.10%,2.21%,2.32%,2.43%,2.55%,,611d2605bf6b53744c49e333,631f78148238ed283a232b05,631f78168238ed283a232b12,631f78178238ed283a232b1f,631f78188238ed283a232b2c,631f78198238ed283a232b39,61bb6125698d2f88e80c7747,
Underwater,2,95 000,249375,654675,1718535,4511220,11842005,2.00%,2.10%,2.21%,2.32%,2.43%,2.55%,,611e222abf6b53744ca040a2,631f781a8238ed283a232b46,631f781b8238ed283a232b53,631f781c8238ed283a232b60,631f781d8238ed283a232b6d,631f781e8238ed283a232b7a,61bb6126698d2f88e80c7749,
Hokusai,2,95 000,249375,654675,1718535,4511220,11842005,2.00%,2.10%,2.21%,2.32%,2.43%,2.55%,,611e2490bf6b53744cad6620,631f781f8238ed283a232b87,631f78208238ed283a232b94,631f78218238ed283a232ba1,631f78228238ed283a232bae,631f78248238ed283a232bbb,61bb6126698d2f88e80c774a,
Retro Night,2,95 000,249375,654675,1718535,4511220,11842005,2.00%,2.10%,2.21%,2.32%,2.43%,2.55%,,611e27d8bf6b53744cbf488c,631f78258238ed283a232bc8,631f78268238ed283a232bd5,631f78278238ed283a232be2,631f78288238ed283a232bef,631f78298238ed283a232bfc,61bb6126698d2f88e80c774b,
Starground,2,210 000,551250,1447110,3798690,9971640,26175555,3.00%,3.15%,3.31%,3.47%,3.65%,3.83%,,611e2995bf6b53744cc8cf63,631f782a8238ed283a232c09,631f782b8238ed283a232c16,631f782c8238ed283a232c23,631f782d8238ed283a232c30,631f782e8238ed283a232c3d,61bb6126698d2f88e80c774c,
Steamwheedle,2,360 000,945000,2480625,6511680,17093160,44869545,3.50%,3.68%,3.86%,4.05%,4.25%,4.47%,,611e2b04bf6b53744cd0c093,631f782f8238ed283a232c4a,631f78318238ed283a232c57,631f78328238ed283a232c64,631f78338238ed283a232c71,631f78348238ed283a232c7e,61bb6126698d2f88e80c774d,
Boneyard,2,700 000,1837500,4823490,12661740,33237120,87247440,4.00%,4.20%,4.41%,4.63%,4.86%,5.11%,,611e485ebf6b53744c700a3b,631f78358238ed283a232c8b,631f78368238ed283a232c98,631f78378238ed283a232ca5,631f78388238ed283a232cb2,631f78398238ed283a232cbf,61bb6126698d2f88e80c7752,
SKAM,2,1,,,,,,10.00%,,,,,,,611e49e6bf6b53744c784427,,,,,,,
FB-i,2,50 000,131250,344610,904680,2374785,6233850,2.00%,2.10%,2.21%,2.32%,2.43%,2.55%,,617965be67433d2dc533871b,631f783a8238ed283a232ccc,631f783c8238ed283a232cd9,631f783d8238ed283a232ce6,631f783e8238ed283a232cf3,631f783f8238ed283a232d00,,
Singularity,2,1 000 000,2625000,6890625,18087930,47480895,124637415,5.00%,5.25%,5.51%,5.79%,6.08%,6.38%,,6153219f1d4f0d103db3a6ad,631f78408238ed283a232d0d,631f78418238ed283a232d1a,631f78428238ed283a232d27,631f78438238ed283a232d34,631f78448238ed283a232d41,,
Gravity,2,500 000,1312500,3445365,9044175,23741025,62320230,4.00%,4.20%,4.41%,4.63%,4.86%,5.11%,,61532146db5008102f9f77e1,631f78468238ed283a232d4e,631f78478238ed283a232d5b,631f78488238ed283a232d68,631f78498238ed283a232d75,631f784a8238ed283a232d82,,
Paradox,2,350 000,918750,2411745,6330870,16618560,43623720,3.00%,3.15%,3.31%,3.47%,3.65%,3.83%,,61532146db5008102f9f77e2,631f784b8238ed283a232d8f,631f784c8238ed283a232d9c,631f784d8238ed283a232da9,631f784e8238ed283a232db6,631f78508238ed283a232dc3,,
Anti–Phaze,1,125 000,328125,861420,2261280,5935860,15581685,1.50%,1.58%,1.65%,1.74%,1.82%,1.91%,,61532146db5008102f9f77e3,631f78518238ed283a232dd0,631f78528238ed283a232ddd,631f78538238ed283a232dea,631f78548238ed283a232df7,631f78558238ed283a232e04,,
Photon,1,125 000,328125,861420,2261280,5935860,15581685,1.50%,1.58%,1.65%,1.74%,1.82%,1.91%,,61532146db5008102f9f77e4,631f78568238ed283a232e11,631f78578238ed283a232e1e,631f78588238ed283a232e2b,631f78598238ed283a232e38,631f785a8238ed283a232e45,,
The Icarus,2,225 000,590625,1550430,4069905,10683540,28044345,3.00%,3.15%,3.31%,3.47%,3.65%,3.83%,,61532146db5008102f9f77e8,631f785c8238ed283a232e52,631f785d8238ed283a232e5f,631f785e8238ed283a232e6c,631f785f8238ed283a232e79,631f78608238ed283a232e86,,
Guts,1,40 000,105000,275625,723555,1899345,4985820,0.50%,0.53%,0.55%,0.58%,0.61%,0.64%,,61532146db5008102f9f77f6,631f788d8238ed283a23309b,631f788e8238ed283a2330a8,631f788f8238ed283a2330b5,631f78908238ed283a2330c2,631f78918238ed283a2330cf,,
Grum,1,40 000,105000,275625,723555,1899345,4985820,0.50%,0.53%,0.55%,0.58%,0.61%,0.64%,,61532146db5008102f9f77f7,631f78928238ed283a2330dc,631f78938238ed283a2330e9,631f78958238ed283a2330f6,631f78968238ed283a233103,631f78978238ed283a233110,,
The Womb,2,60 000,157500,413490,1085490,2849490,7479990,1.00%,1.05%,1.10%,1.16%,1.22%,1.28%,,61532146db5008102f9f77f2,631f78828238ed283a233019,631f78838238ed283a233026,631f78848238ed283a233033,631f78858238ed283a233040,631f78868238ed283a23304d,,
The Krank,2,60 000,157500,413490,1085490,2849490,7479990,1.00%,1.05%,1.10%,1.16%,1.22%,1.28%,,61532146db5008102f9f77f3,631f78878238ed283a23305a,631f78898238ed283a233067,631f788a8238ed283a233074,631f788b8238ed283a233081,631f788c8238ed283a23308e,,
DJ Roller,2,85 000,223125,585795,1537725,4036620,10596180,1.00%,1.05%,1.10%,1.16%,1.22%,1.28%,,61532146db5008102f9f77f0,631f78778238ed283a232f97,631f78788238ed283a232fa4,631f78798238ed283a232fb1,631f787a8238ed283a232fbe,631f787b8238ed283a232fcb,,
Survivor,2,75 000,196875,516810,1356705,3561390,9348675,2.00%,2.10%,2.21%,2.32%,2.43%,2.55%,,61532146db5008102f9f77e7,631f78668238ed283a232ed4,631f78678238ed283a232ee1,631f78698238ed283a232eee,631f786a8238ed283a232efb,631f786b8238ed283a232f08,,
The Creeper,2,90 000,236250,620235,1628130,4273920,11219040,1.50%,1.58%,1.65%,1.74%,1.82%,1.91%,,61532146db5008102f9f77ea,631f78718238ed283a232f56,631f78728238ed283a232f63,631f78748238ed283a232f70,631f78758238ed283a232f7d,631f78768238ed283a232f8a,,
Candysweet,2,250 000,656250,1722735,4522245,11870985,31161375,4.00%,4.20%,4.41%,4.63%,4.86%,5.11%,,61532146db5008102f9f77e6,631f78618238ed283a232e93,631f78628238ed283a232ea0,631f78638238ed283a232ead,631f78648238ed283a232eba,631f78658238ed283a232ec7,,
Ancient,2,500 000,1312500,3445365,9044175,23741025,62320230,6.00%,6.30%,6.62%,6.95%,7.29%,7.66%,,61532146db5008102f9f77e9,631f786c8238ed283a232f15,631f786d8238ed283a232f22,631f786e8238ed283a232f2f,631f786f8238ed283a232f3c,631f78708238ed283a232f49,,
Pepperoni 10K,2,1 500 000,3937500,10335990,27132000,71221500,186956490,10.00%,10.50%,11.03%,11.58%,12.16%,12.76%,,61532146db5008102f9f77f1,631f787d8238ed283a232fd8,631f787e8238ed283a232fe5,631f787f8238ed283a232ff2,631f78808238ed283a232fff,631f78818238ed283a23300c,,
Shrumee,1,22 000,57750,151620,398055,1044960,2743020,0.50%,0.53%,0.55%,0.58%,0.61%,0.64%,,61532146db5008102f9f77f4,631f78988238ed283a23311d,631f78998238ed283a23312a,631f789a8238ed283a233137,631f789b8238ed283a233144,631f789c8238ed283a233151,,
Drifter,1,24 000,63000,165375,434175,1139775,2991975,0.50%,0.53%,0.55%,0.58%,0.61%,0.64%,,61532146db5008102f9f77f5,631f78be8238ed283a2332e4,631f78bf8238ed283a2332f1,631f78c18238ed283a2332fe,631f78c28238ed283a23330b,631f78c38238ed283a233318,,
Nuc,1,26 000,68250,179235,470505,1235115,3242190,0.50%,0.53%,0.55%,0.58%,0.61%,0.64%,,61532146db5008102f9f77f8,631f78c48238ed283a233325,631f78c58238ed283a233332,631f78c68238ed283a23333f,631f78c78238ed283a23334c,631f78c88238ed283a233359,,
Blaize,1,26 000,68250,179235,470505,1235115,3242190,0.50%,0.53%,0.55%,0.58%,0.61%,0.64%,,61532146db5008102f9f77f9,631f78c98238ed283a233366,631f78ca8238ed283a233373,631f78cb8238ed283a233380,631f78cd8238ed283a23338d,631f78ce8238ed283a23339a,,
Serenity,2,30 000,78750,206745,542745,1424745,3739995,1.00%,1.05%,1.10%,1.16%,1.22%,1.28%,,61532146db5008102f9f77e5,631f789d8238ed283a23315e,631f789e8238ed283a23316b,631f78a08238ed283a233178,631f78a18238ed283a233185,631f78a28238ed283a233192,,
Mycelium,2,35 000,91875,241185,633150,1662045,4362960,1.00%,1.05%,1.10%,1.16%,1.22%,1.28%,,61532146db5008102f9f77ee,631f78b38238ed283a233262,631f78b58238ed283a23326f,631f78b68238ed283a23327c,631f78b78238ed283a233289,631f78b88238ed283a233296,,
Shifter,2,40 000,105000,275625,723555,1899345,4985820,1.00%,1.05%,1.10%,1.16%,1.22%,1.28%,,61532146db5008102f9f77ef,631f78b98238ed283a2332a3,631f78ba8238ed283a2332b0,631f78bb8238ed283a2332bd,631f78bc8238ed283a2332ca,631f78bd8238ed283a2332d7,,
Nucleus,2,100 000,262500,689115,1808940,4748520,12464865,1.50%,1.58%,1.65%,1.74%,1.82%,1.91%,,61532146db5008102f9f77eb,631f78a38238ed283a23319f,631f78a48238ed283a2331ac,631f78a58238ed283a2331b9,631f78a68238ed283a2331c6,631f78a78238ed283a2331d3,,
Prescilla,2,100 000,262500,689115,1808940,4748520,12464865,1.50%,1.58%,1.65%,1.74%,1.82%,1.91%,,61532146db5008102f9f77ec,631f78a88238ed283a2331e0,631f78a98238ed283a2331ed,631f78ab8238ed283a2331fa,631f78ac8238ed283a233207,631f78ad8238ed283a233214,,
The Nemesis,2,450 000,1181250,3100860,8139810,21367080,56088585,5.00%,5.25%,5.51%,5.79%,6.08%,6.38%,,61532146db5008102f9f77ed,631f78ae8238ed283a233221,631f78af8238ed283a23322e,631f78b08238ed283a23323b,631f78b18238ed283a233248,631f78b28238ed283a233255,,
XLZ-01,1,22 000,57750,151620,398055,1044960,2743020,0.50%,0.53%,0.55%,0.58%,0.61%,0.64%,,618d1dda8f5ef2744b7d2386,631f78fb8238ed283a2335af,631f78fc8238ed283a2335bc,631f78fd8238ed283a2335c9,631f78fe8238ed283a2335d6,631f78ff8238ed283a2335e3,,
The Lush,1,24 000,63000,165375,434175,1139775,2991975,0.50%,0.53%,0.55%,0.58%,0.61%,0.64%,,618d1dda8f5ef2744b7d2385,631f79008238ed283a2335f0,631f79018238ed283a2335fd,631f79028238ed283a23360a,631f79048238ed283a233617,631f79058238ed283a233624,,
Lava-Box,1,26 000,68250,179235,470505,1235115,3242190,0.50%,0.53%,0.55%,0.58%,0.61%,0.64%,,618d1dda8f5ef2744b7d2383,631f78f08238ed283a23352d,631f78f18238ed283a23353a,631f78f28238ed283a233547,631f78f38238ed283a233554,631f78f48238ed283a233561,,
The Blup,1,26 000,68250,179235,470505,1235115,3242190,0.50%,0.53%,0.55%,0.58%,0.61%,0.64%,,618d1dda8f5ef2744b7d2384,631f78f58238ed283a23356e,631f78f68238ed283a23357b,631f78f78238ed283a233588,631f78f88238ed283a233595,631f78fa8238ed283a2335a2,,
Armageddon,2,35 000,91875,241185,633150,1662045,4362960,0.75%,0.79%,0.83%,0.87%,0.91%,0.96%,,618d1dda8f5ef2744b7d2380,631f78cf8238ed283a2333a7,631f78d08238ed283a2333b4,631f78d18238ed283a2333c1,631f78d28238ed283a2333ce,631f78d38238ed283a2333db,,
The Blubber,2,35 000,91875,241185,633150,1662045,4362960,0.75%,0.79%,0.83%,0.87%,0.91%,0.96%,,618d1dda8f5ef2744b7d2381,631f78d48238ed283a2333e8,631f78d68238ed283a2333f5,631f78d78238ed283a233402,631f78d88238ed283a23340f,631f78d98238ed283a23341c,,
Lava-Tomb,2,35 000,91875,241185,633150,1662045,4362960,0.75%,0.79%,0.83%,0.87%,0.91%,0.96%,,618d1dda8f5ef2744b7d2382,631f78da8238ed283a233429,631f78db8238ed283a233436,631f78dc8238ed283a233443,631f78dd8238ed283a233450,631f78de8238ed283a23345d,,
Overgrown,2,100 000,262500,689115,1808940,4748520,12464865,1.50%,1.58%,1.65%,1.74%,1.82%,1.91%,,618d1dda8f5ef2744b7d237e,631f78e58238ed283a2334ab,631f78e68238ed283a2334b8,631f78e78238ed283a2334c5,631f78e88238ed283a2334d2,631f78e98238ed283a2334df,,
XLZ-1,2,100 000,262500,689115,1808940,4748520,12464865,1.50%,1.58%,1.65%,1.74%,1.82%,1.91%,,618d1dda8f5ef2744b7d237f,631f78ea8238ed283a2334ec,631f78eb8238ed283a2334f9,631f78ec8238ed283a233506,631f78ed8238ed283a233513,631f78ef8238ed283a233520,,
TLM-2000,2,450 000,1181250,3100860,8139810,21367080,56088585,5.00%,5.25%,5.51%,5.79%,6.08%,6.38%,,618d1dda8f5ef2744b7d237d,631f78df8238ed283a23346a,631f78e08238ed283a233477,631f78e28238ed283a233484,631f78e38238ed283a233491,631f78e48238ed283a23349e,,
The Christmas Eve,2,400 000,1050000,2756250,7235235,18992505,49855365,5.00%,5.25%,5.51%,5.79%,6.08%,6.38%,,61b9cce178d63d64cd626fc9,631f79068238ed283a233631,631f79078238ed283a23363e,631f79088238ed283a23364b,631f79098238ed283a233658,631f790a8238ed283a233665,,
Santa's Flyer,2,250 000,656250,1722735,4522245,11870985,31161375,4.00%,4.20%,4.41%,4.63%,4.86%,5.11%,,61b9cce178d63d64cd626fca,631f790b8238ed283a233672,631f790c8238ed283a23367f,631f790d8238ed283a23368c,631f790f8238ed283a233699,631f79108238ed283a2336a6,,
Granny's Cake,2,125 000,328125,861420,2261280,5935860,15581685,2.00%,2.10%,2.21%,2.32%,2.43%,2.55%,,61b9cce178d63d64cd626fcb,631f79118238ed283a2336b3,631f79128238ed283a2336c0,631f79138238ed283a2336cd,631f79148238ed283a2336da,631f79158238ed283a2336e7,,
Dasher's Sled,2,75 000,196875,516810,1356705,3561390,9348675,1.50%,1.58%,1.65%,1.74%,1.82%,1.91%,,61b9cce178d63d64cd626fcc,631f79168238ed283a2336f4,631f79178238ed283a233701,631f79188238ed283a23370e,631f79198238ed283a23371b,631f791b8238ed283a233728,,
Gingerbread,2,75 000,196875,516810,1356705,3561390,9348675,1.50%,1.58%,1.65%,1.74%,1.82%,1.91%,,61b9cce178d63d64cd626fcd,631f791c8238ed283a233735,631f791d8238ed283a233742,631f791e8238ed283a23374f,631f791f8238ed283a23375c,631f79208238ed283a233769,,
Purple Snowflake,1,10 000,26250,68985,181125,475545,1248345,0.25%,0.26%,0.28%,0.29%,0.30%,0.32%,,61b9cce478d63d64cd626fdf,631f79488238ed283a23393d,631f79498238ed283a23394a,631f794a8238ed283a233957,631f794b8238ed283a233964,631f794c8238ed283a233971,,
Candy Box,1,10 000,26250,68985,181125,475545,1248345,0.25%,0.26%,0.28%,0.29%,0.30%,0.32%,,61b9cce478d63d64cd626fe0,631f794d8238ed283a23397e,631f794e8238ed283a23398b,631f79508238ed283a233998,631f79518238ed283a2339a5,631f79528238ed283a2339b2,,
Sparkling Light,1,10 000,26250,68985,181125,475545,1248345,0.25%,0.26%,0.28%,0.29%,0.30%,0.32%,,61b9cce478d63d64cd626fe1,631f79598238ed283a233a00,631f795a8238ed283a233a0d,631f795b8238ed283a233a1a,631f795c8238ed283a233a27,631f795d8238ed283a233a34,,
Box of Wonders,2,20 000,52500,137865,361935,950145,2494170,0.50%,0.53%,0.55%,0.58%,0.61%,0.64%,,61b9cce478d63d64cd626fde,631f79428238ed283a2338fc,631f79438238ed283a233909,631f79448238ed283a233916,631f79468238ed283a233923,631f79478238ed283a233930,,
